IdLocalidade;Localidade;Municipio;UF
34;COLNIZA;COLNIZA;MT        
000034;COLNIZA;COLNIZA;MT        
37;NOVA SANTA HELENA;NOVA SANTA HELENA;MT        
000037;NOVA SANTA HELENA;NOVA SANTA HELENA;MT        
39;NOVA NAZARE;NOVA NAZARE;MT        
000039;NOVA NAZARE;NOVA NAZARE;MT        
40;BOM JESUS DO ARAGUAIA;BOM JESUS DO ARAGUAIA;MT        
000040;BOM JESUS DO ARAGUAIA;BOM JESUS DO ARAGUAIA;MT        
41;SERRA NOVA DOURADA;SERRA NOVA DOURADA;MT        
000041;SERRA NOVA DOURADA;SERRA NOVA DOURADA;MT        
49;LUIS EDUARDO MAGALHAES;LUIS EDUARDO MAGALHAES;BA        
000049;LUIS EDUARDO MAGALHAES;LUIS EDUARDO MAGALHAES;BA        
50;CANAA DOS CARAJAS;CANAA DOS CARAJAS;PA        
000050;CANAA DOS CARAJAS;CANAA DOS CARAJAS;PA        
51;MOSQUITO;MOSQUITO;TO        
000051;MOSQUITO;MOSQUITO;TO        
60;BRASILIA;BRASILIA;DF        
000060;BRASILIA;BRASILIA;DF        
61;BOA VISTA;BOA VISTA;RR        
000061;BOA VISTA;BOA VISTA;RR        
62;RIO BRANCO;RIO BRANCO;AC        
000062;RIO BRANCO;RIO BRANCO;AC        
63;PORTO ALEGRE;PORTO ALEGRE;RS        
000063;PORTO ALEGRE;PORTO ALEGRE;RS        
64;CAMPO GRANDE;CAMPO GRANDE;MS        
000064;CAMPO GRANDE;CAMPO GRANDE;MS        
65;PORTO VELHO;PORTO VELHO;RO        
000065;PORTO VELHO;PORTO VELHO;RO        
66;MANAUS;MANAUS;AM        
000066;MANAUS;MANAUS;AM        
67;CUIABA;CUIABA;MT        
000067;CUIABA;CUIABA;MT        
68;FLORIANOPOLIS;FLORIANOPOLIS;SC        
000068;FLORIANOPOLIS;FLORIANOPOLIS;SC        
69;CURITIBA;CURITIBA;PR        
000069;CURITIBA;CURITIBA;PR        
70;SAO PAULO;SAO PAULO;SP        
000070;SAO PAULO;SAO PAULO;SP        
71;RIO DE JANEIRO;RIO DE JANEIRO;RJ        
000071;RIO DE JANEIRO;RIO DE JANEIRO;RJ        
72;BELO HORIZONTE;BELO HORIZONTE;MG        
000072;BELO HORIZONTE;BELO HORIZONTE;MG        
73;VITORIA;VITORIA;ES        
000073;VITORIA;VITORIA;ES        
74;GOIANIA;GOIANIA;GO        
000074;GOIANIA;GOIANIA;GO        
75;PALMAS;PALMAS;TO        
000075;PALMAS;PALMAS;TO        
76;BELEM;BELEM;PA        
000076;BELEM;BELEM;PA        
77;TERESINA;TERESINA;PI        
000077;TERESINA;TERESINA;PI        
78;SAO LUIS;SAO LUIS;MA        
000078;SAO LUIS;SAO LUIS;MA        
79;SALVADOR;SALVADOR;BA        
000079;SALVADOR;SALVADOR;BA        
80;ARACAJU;ARACAJU;SE        
000080;ARACAJU;ARACAJU;SE        
81;MACEIO;MACEIO;AL        
000081;MACEIO;MACEIO;AL        
82;FORTALEZA;FORTALEZA;CE        
000082;FORTALEZA;FORTALEZA;CE        
83;RECIFE;RECIFE;PE        
000083;RECIFE;RECIFE;PE        
84;JOAO PESSOA;JOAO PESSOA;PB        
000084;JOAO PESSOA;JOAO PESSOA;PB        
85;NATAL;NATAL;RN        
000085;NATAL;NATAL;RN        
91;FEIJO;FEIJO;AC        
000091;FEIJO;FEIJO;AC        
92;CARACARAI;CARACARAI;RR        
000092;CARACARAI;CARACARAI;RR        
94;MUCAJAI;MUCAJAI;RR        
000094;MUCAJAI;MUCAJAI;RR        
97;RORAINOPOLIS;RORAINOPOLIS;RR        
000097;RORAINOPOLIS;RORAINOPOLIS;RR        
101;CANTA;CANTA;RR        
000101;CANTA;CANTA;RR        
102;BONFIM;BONFIM;RR        
000102;BONFIM;BONFIM;RR        
104;PACARAIMA;PACARAIMA;RR        
000104;PACARAIMA;PACARAIMA;RR        
118;ASSIS BRASIL;ASSIS BRASIL;AC        
000118;ASSIS BRASIL;ASSIS BRASIL;AC        
122;BRASILEIA;BRASILEIA;AC        
000122;BRASILEIA;BRASILEIA;AC        
123;XAPURI;XAPURI;AC        
000123;XAPURI;XAPURI;AC        
125;SENA MADUREIRA;SENA MADUREIRA;AC        
000125;SENA MADUREIRA;SENA MADUREIRA;AC        
126;SENADOR GUIOMARD;SENADOR GUIOMARD;AC        
000126;SENADOR GUIOMARD;SENADOR GUIOMARD;AC        
133;CRUZEIRO DO SUL;CRUZEIRO DO SUL;AC        
000133;CRUZEIRO DO SUL;CRUZEIRO DO SUL;AC        
134;GUAJARA;GUAJARA;AM        
000134;GUAJARA;GUAJARA;AM        
139;SAO BORJA;SAO BORJA;RS        
000139;SAO BORJA;SAO BORJA;RS        
152;CHUI;CHUI;RS        
000152;CHUI;CHUI;RS        
153;BARRA DO QUARAI;BARRA DO QUARAI;RS        
000153;BARRA DO QUARAI;BARRA DO QUARAI;RS        
154;URUGUAIANA;URUGUAIANA;RS        
000154;URUGUAIANA;URUGUAIANA;RS        
155;QUARAI;QUARAI;RS        
000155;QUARAI;QUARAI;RS        
156;ALEGRETE;ALEGRETE;RS        
000156;ALEGRETE;ALEGRETE;RS        
157;SANTANA DO LIVRAMENTO;SANTANA DO LIVRAMENTO;RS        
000157;SANTANA DO LIVRAMENTO;SANTANA DO LIVRAMENTO;RS        
161;ROSARIO DO SUL;ROSARIO DO SUL;RS        
000161;ROSARIO DO SUL;ROSARIO DO SUL;RS        
162;CACEQUI;CACEQUI;RS        
000162;CACEQUI;CACEQUI;RS        
164;SAO VICENTE DO SUL;SAO VICENTE DO SUL;RS        
000164;SAO VICENTE DO SUL;SAO VICENTE DO SUL;RS        
165;JAGUARI;JAGUARI;RS        
000165;JAGUARI;JAGUARI;RS        
166;ITAQUI;ITAQUI;RS        
000166;ITAQUI;ITAQUI;RS        
172;BAGE;BAGE;RS        
