IdLocalidade;Localidade;Municipio;UF
1086;ACRELANDIA;ACRELANDIA;AC        
118;ASSIS BRASIL;ASSIS BRASIL;AC        
122;BRASILEIA;BRASILEIA;AC        
133;CRUZEIRO DO SUL;CRUZEIRO DO SUL;AC        
91;FEIJO;FEIJO;AC        
62;RIO BRANCO;RIO BRANCO;AC        
125;SENA MADUREIRA;SENA MADUREIRA;AC        
126;SENADOR GUIOMARD;SENADOR GUIOMARD;AC        
123;XAPURI;XAPURI;AC        
5079;ARAPIRACA;ARAPIRACA;AL        
2987;ATALAIA;ATALAIA;AL        
3036;BARRA DE SANTO ANTONIO;BARRA DE SANTO ANTONIO;AL        
3401;BATALHA;BATALHA;AL        
5028;CACIMBINHAS;CACIMBINHAS;AL        
5019;CANAPI;CANAPI;AL        
21390;CAPIA NOVO;CANAPI;AL        
3320;DELMIRO GOUVEIA;DELMIRO GOUVEIA;AL        
5044;IGREJA NOVA;IGREJA NOVA;AL        
3403;JARAMATAIA;JARAMATAIA;AL        
4884;JOAQUIM GOMES;JOAQUIM GOMES;AL        
5081;JUNQUEIRO;JUNQUEIRO;AL        
81;MACEIO;MACEIO;AL        
3044;MARAGOGI;MARAGOGI;AL        
12342;MARIMBONDO ;MARIBONDO;AL        
3038;MATRIZ DE CAMARAGIBE;MATRIZ DE CAMARAGIBE;AL        
4882;MESSIAS;MESSIAS;AL        
4877;MURICI;MURICI;AL        
3379;OLHO D'AGUA DAS FLORES;OLHO D'AGUA DAS FLORES;AL        
2994;PALMEIRA DOS INDIOS;PALMEIRA DOS INDIOS;AL        
3371;PAO DE ACUCAR;PAO DE ACUCAR;AL        
5041;PENEDO;PENEDO;AL        
3040;PORTO CALVO;PORTO CALVO;AL        
3397;PORTO REAL DO COLEGIO;PORTO REAL DO COLEGIO;AL        
2993;RIO LARGO;RIO LARGO;AL        
5021;SANTANA DO IPANEMA;SANTANA DO IPANEMA;AL        
4879;SAO JOSE DA LAJE;SAO JOSE DA LAJE;AL        
3035;SAO LUIS DO QUITUNDE;SAO LUIS DO QUITUNDE;AL        
2984;SAO MIGUEL DOS CAMPOS;SAO MIGUEL DOS CAMPOS;AL        
5080;SAO SEBASTIAO;SAO SEBASTIAO;AL        
2975;TEOTONIO VILELA;TEOTONIO VILELA;AL        
4880;UNIAO DOS PALMARES;UNIAO DOS PALMARES;AL        
3417;APUI;APUI;AM        
3289;CANUTAMA;CANUTAMA;AM        
3426;CAREIRO;CAREIRO;AM        
134;GUAJARA;GUAJARA;AM        
3290;HUMAITA;HUMAITA;AM        
66;MANAUS;MANAUS;AM        
3416;MANICORE;MANICORE;AM        
7578;PRES. FIGUEIREDO;PRESIDENTE FIGUEIREDO;AM        
1101;PRESIDENTE FIGUEIREDO;PRESIDENTE FIGUEIREDO;AM        
7587;SANTO ANTONIO DO ABONARI ;PRESIDENTE FIGUEIREDO;AM        
5616;BERNARD IRIGOYEN;ARGENTINA;ARG       
5574;BUENOS AIRES;ARGENTINA;ARG       
5602;CONCORDIA;ARGENTINA;ARG       
5576;CORDOBA;ARGENTINA;ARG       
5580;CORRIENTES;ARGENTINA;ARG       
5603;ELDORADO;ARGENTINA;ARG       
5604;GUALEGUAYCHU;ARGENTINA;ARG       
5619;JARDIM AMERICA;ARGENTINA;ARG       
5617;MONTE CARLO;ARGENTINA;ARG       
5564;OBERA;ARGENTINA;ARG       
5578;PARANA;ARGENTINA;ARG       
5584;PASO DE LOS LIBRES;ARGENTINA;ARG       
5587;POSADAS;ARGENTINA;ARG       
5589;PUERTO IGUAZU;ARGENTINA;ARG       
5618;PUERTO RICO;ARGENTINA;ARG       
5621;QUATRO BOCAS;ARGENTINA;ARG       
5579;RESISTENCIA;ARGENTINA;ARG       
5566;ROSARIO;ARGENTINA;ARG       
24919;SALTA;ARGENTINA;ARG       
30122;SAN MIGUEL DE TUCUMAN;ARGENTINA;ARG       
5605;SAN NICOLAS;ARGENTINA;ARG       
5577;SANTA FE;ARGENTINA;ARG       
30123;SANTIAGO DEL ESTERO;ARGENTINA;ARG       
5622;VILA FEDERAL;ARGENTINA;ARG       
5606;ZARATE;ARGENTINA;ARG       
5560;ABAIRA;ABAIRA;BA        
4976;ALAGOINHAS;ALAGOINHAS;BA        
2718;ALCOBACA;ALCOBACA;BA        
21851;JOANICA ;ALCOBACA;BA        
4965;AMELIA RODRIGUES;AMELIA RODRIGUES;BA        
4722;ANAGE;ANAGE;BA        
4985;APORA;APORA;BA        
4718;ARACATU;ARACATU;BA        
4961;ARACI;ARACI;BA        
4278;BARRA;BARRA;BA        
4731;BARRA DA ESTIVA;BARRA DA ESTIVA;BA        
4374;BARREIRAS;BARREIRAS;BA        
24898;CERRADÃO;BARREIRAS;BA        
24896;KM 30;BARREIRAS;BA        
24892;OLVEBASA;BARREIRAS;BA        
15365;PLACAS  [1];BARREIRAS;BA        
24897;SERTANEJA;BARREIRAS;BA        
4770;BELMONTE;BELMONTE;BA        
4689;BELO CAMPO;BELO CAMPO;BA        
3837;BOM JESUS DA LAPA;BOM JESUS DA LAPA;BA        
4855;BONITO;BONITO;BA        
4272;BREJOLANDIA;BREJOLANDIA;BA        
4280;BROTAS DE MACAUBAS;BROTAS DE MACAUBAS;BA        
4719;BRUMADO;BRUMADO;BA        
4277;BURITIRAMA;BURITIRAMA;BA        
3847;CACULE;CACULE;BA        
3845;CAETITE;CAETITE;BA        
4772;CAMACAN;CAMACAN;BA        
4842;CAMACARI;CAMACARI;BA        
4401;CAMPO ALEGRE DE LOURDES;CAMPO ALEGRE DE LOURDES;BA        
29282;LAJE;CAMPO FORMOSO;BA        
4785;CANAVIEIRAS;CANAVIEIRAS;BA        
3841;CANDIBA;CANDIBA;BA        
4685;CANDIDO SALES;CANDIDO SALES;BA        
23607;RIO PARDO;CANDIDO SALES;BA        
4959;CANSANCAO;CANSANCAO;BA        
4909;CAPIM GROSSO;CAPIM GROSSO;BA        
21776;BASE AEREA ;CARAVELAS;BA        
2717;CARAVELAS;CARAVELAS;BA        
21279;JUERANA;CARAVELAS;BA        
21850;PEDRA D'AGUA ;CARAVELAS;BA        
21432;RANCHO ALEGRE;CARAVELAS;BA        
21274;SANTO ANTONIO DE BARCELONA;CARAVELAS;BA        
3831;CARINHANHA;CARINHANHA;BA        
4919;CASA NOVA;CASA NOVA;BA        
4973;CATU;CATU;BA        
4289;CENTRAL;CENTRAL;BA        
3297;CHORROCHO;CHORROCHO;BA        
4998;CICERO DANTAS;CICERO DANTAS;BA        
4992;CIPO;CIPO;BA        
3778;COCOS;COCOS;BA        
21346;SAO GONCALO;COCOS;BA        
4944;CONCEICAO DO COITE;CONCEICAO DO COITE;BA        
3829;CONDEUBA;CONDEUBA;BA        
4681;CORDEIROS;CORDEIROS;BA        
3781;CORIBE;CORIBE;BA        
3782;CORRENTINA;CORRENTINA;BA        
22204;POSTO ROSARIO ;CORRENTINA;BA        
4379;CRISTOPOLIS;CRISTOPOLIS;BA        
4825;CRUZ DAS ALMAS;CRUZ DAS ALMAS;BA        
5561;DIAS D'AVILA;DIAS D'AVILA;BA        
4721;DOM BASILIO;DOM BASILIO;BA        
4984;ENTRE RIOS;ENTRE RIOS;BA        
4368;ERICO CARDOSO;ERICO CARDOSO;BA        
4988;ESPLANADA;ESPLANADA;BA        
22616;ESPLANADA CIA LTDA;ESPLANADA;BA        
4963;EUCLIDES DA CUNHA;EUCLIDES DA CUNHA;BA        
4765;EUNAPOLIS;EUNAPOLIS;BA        
